FID,NAME,KODE_KEC,KODE_KD,KODE_KK,KODE_PROV,TIPE_KD,KECAMATAN,KEL_DESA,KAB_KOTA,PROVINSI,JENIS_KD
28863,Sukarasa,32.73.01,32.73.01.1001,32.73,32,2,Sukasari,Sukarasa,Kota Bandung,Jawa Barat,Kelurahan
28882,Sukawarna,32.73.07,32.73.07.1003,32.73,32,2,Sukajadi,Sukawarna,Kota Bandung,Jawa Barat,Kelurahan
28905,Taman Sari,32.73.09,32.73.09.1002,32.73,32,2,Bandung Wetan,Taman Sari,Kota Bandung,Jawa Barat,Kelurahan
32956,Antapani Kulon,32.73.20,32.73.20.1001,32.73,32,2,Antapani,Antapani Kulon,Kota Bandung,Jawa Barat,Kelurahan
32957,Antapani Tengah,32.73.20,32.73.20.1004,32.73,32,2,Antapani,Antapani Tengah,Kota Bandung,Jawa Barat,Kelurahan
32958,Antapani Wetan,32.73.20,32.73.20.1006,32.73,32,2,Antapani,Antapani Wetan,Kota Bandung,Jawa Barat,Kelurahan
32960,Arjuna,32.73.06,32.73.06.1002,32.73,32,2,Cicendo,Arjuna,Kota Bandung,Jawa Barat,Kelurahan
32961,Babakan Ciamis,32.73.19,32.73.19.1004,32.73,32,2,Sumur Bandung,Babakan Ciamis,Kota Bandung,Jawa Barat,Kelurahan
32962,Babakan Surabaya,32.73.16,32.73.16.1003,32.73,32,2,Kiaracondong,Babakan Surabaya,Kota Bandung,Jawa Barat,Kelurahan
32974,Cicaheum,32.73.16,32.73.16.1004,32.73,32,2,Kiaracondong,Cicaheum,Kota Bandung,Jawa Barat,Kelurahan
32977,Cigending,32.73.26,32.73.26.1004,32.73,32,2,Ujungberung,Cigending,Kota Bandung,Jawa Barat,Kelurahan
32980,Cihapit,32.73.09,32.73.09.1001,32.73,32,2,Bandung Wetan,Cihapit,Kota Bandung,Jawa Barat,Kelurahan
32983,Cijerah,32.73.15,32.73.15.1001,32.73,32,2,Bandung Kulon,Cijerah,Kota Bandung,Jawa Barat,Kelurahan
33000,Cipadung,32.73.25,32.73.25.1002,32.73,32,2,Cibiru,Cipadung,Kota Bandung,Jawa Barat,Kelurahan
33004,Ciroyom,32.73.05,32.73.05.1003,32.73,32,2,Andir,Ciroyom,Kota Bandung,Jawa Barat,Kelurahan
33007,Cisaranten Bina Harapan,32.73.24,32.73.24.1002,32.73,32,2,Arcamanik,Cisaranten Bina Harapan,Kota Bandung,Jawa Barat,Kelurahan
33009,Cisurupan,32.73.25,32.73.25.1004,32.73,32,2,Cibiru,Cisurupan,Kota Bandung,Jawa Barat,Kelurahan
33012,Dungus Cariang,32.73.05,32.73.05.1002,32.73,32,2,Andir,Dungus Cariang,Kota Bandung,Jawa Barat,Kelurahan
33015,Garuda,32.73.05,32.73.05.1005,32.73,32,2,Andir,Garuda,Kota Bandung,Jawa Barat,Kelurahan
33022,Husein Sastranegara,32.73.06,32.73.06.1001,32.73,32,2,Cicendo,Husein Sastranegara,Kota Bandung,Jawa Barat,Kelurahan
33025,Kacapiring,32.73.12,32.73.12.1004,32.73,32,2,Batununggal,Kacapiring,Kota Bandung,Jawa Barat,Kelurahan
33030,Kebon Waru,32.73.12,32.73.12.1005,32.73,32,2,Batununggal,Kebon Waru,Kota Bandung,Jawa Barat,Kelurahan
33036,Maleber,32.73.05,32.73.05.1001,32.73,32,2,Andir,Maleber,Kota Bandung,Jawa Barat,Kelurahan
33043,Merdeka,32.73.19,32.73.19.1002,32.73,32,2,Sumur Bandung,Merdeka,Kota Bandung,Jawa Barat,Kelurahan
33047,Pakemitan,32.73.29,32.73.29.1002,32.73,32,2,Cinambo,Pakemitan,Kota Bandung,Jawa Barat,Kelurahan
33048,Palasari,32.73.25,32.73.25.1001,32.73,32,2,Cibiru,Palasari,Kota Bandung,Jawa Barat,Kelurahan
33052,Pasanggrahan,32.73.26,32.73.26.1007,32.73,32,2,Ujungberung,Pasanggrahan,Kota Bandung,Jawa Barat,Kelurahan
33053,Pasir Biru,32.73.25,32.73.25.1003,32.73,32,2,Cibiru,Pasir Biru,Kota Bandung,Jawa Barat,Kelurahan
33055,Pasirjati,32.73.26,32.73.26.1006,32.73,32,2,Ujungberung,Pasirjati,Kota Bandung,Jawa Barat,Kelurahan
33056,Pasirkaliki,32.73.06,32.73.06.1004,32.73,32,2,Cicendo,Pasirkaliki,Kota Bandung,Jawa Barat,Kelurahan
33057,Pasirwangi,32.73.26,32.73.26.1005,32.73,32,2,Ujungberung,Pasirwangi,Kota Bandung,Jawa Barat,Kelurahan
33071,Sukamaju,32.73.14,32.73.14.1004,32.73,32,2,Cibeunying Kidul,Sukamaju,Kota Bandung,Jawa Barat,Kelurahan
33073,Sukamiskin,32.73.24,32.73.24.1001,32.73,32,2,Arcamanik,Sukamiskin,Kota Bandung,Jawa Barat,Kelurahan
82253,Babakan Ciparay,32.73.03,32.73.03.1001,32.73,32,2,Babakan Ciparay,Babakan Ciparay,Kota Bandung,Jawa Barat,Kelurahan
82257,Batununggal,32.73.21,32.73.21.1001,32.73,32,2,Bandung Kidul,Batununggal,Kota Bandung,Jawa Barat,Kelurahan
82270,Cibaduyut,32.73.17,32.73.17.1003,32.73,32,2,Bojongloa Kidul,Cibaduyut,Kota Bandung,Jawa Barat,Kelurahan
82275,Cigondewah Rahayu,32.73.15,32.73.15.1007,32.73,32,2,Bandung Kulon,Cigondewah Rahayu,Kota Bandung,Jawa Barat,Kelurahan
82278,Cijaura,32.73.22,32.73.22.1003,32.73,32,2,Buahbatu,Cijaura,Kota Bandung,Jawa Barat,Kelurahan
82291,Cimenerang,32.73.27,32.73.27.1001,32.73,32,2,Gedebage,Cimenerang,Kota Bandung,Jawa Barat,Kelurahan
82296,Cipamokolan,32.73.23,32.73.23.1001,32.73,32,2,Rancasari,Cipamokolan,Kota Bandung,Jawa Barat,Kelurahan
82298,Cirangrang,32.73.03,32.73.03.1006,32.73,32,2,Babakan Ciparay,Cirangrang,Kota Bandung,Jawa Barat,Kelurahan
82300,Cisantren Kidul,32.73.27,32.73.27.1002,32.73,32,2,Gedebage,Cisantren Kidul,Kota Bandung,Jawa Barat,Kelurahan
82302,Ciseureuh,32.73.11,32.73.11.1005,32.73,32,2,Regol,Ciseureuh,Kota Bandung,Jawa Barat,Kelurahan
82321,Karasak,32.73.10,32.73.10.1001,32.73,32,2,Astana Anyar,Karasak,Kota Bandung,Jawa Barat,Kelurahan
82323,Kebon Lega,32.73.17,32.73.17.1002,32.73,32,2,Bojongloa Kidul,Kebon Lega,Kota Bandung,Jawa Barat,Kelurahan
82330,Manjahlega,32.73.23,32.73.23.1003,32.73,32,2,Rancasari,Manjahlega,Kota Bandung,Jawa Barat,Kelurahan
82331,Margahayu Utara,32.73.03,32.73.03.1004,32.73,32,2,Babakan Ciparay,Margahayu Utara,Kota Bandung,Jawa Barat,Kelurahan
82332,Margasari,32.73.22,32.73.22.1002,32.73,32,2,Buahbatu,Margasari,Kota Bandung,Jawa Barat,Kelurahan
82333,Margasuka,32.73.03,32.73.03.1005,32.73,32,2,Babakan Ciparay,Margasuka,Kota Bandung,Jawa Barat,Kelurahan
82341,Pasirluyu,32.73.11,32.73.11.1007,32.73,32,2,Regol,Pasirluyu,Kota Bandung,Jawa Barat,Kelurahan
82345,Rancabolang,32.73.27,32.73.27.1003,32.73,32,2,Gedebage,Rancabolang,Kota Bandung,Jawa Barat,Kelurahan
82353,Sekejati,32.73.22,32.73.22.1001,32.73,32,2,Buahbatu,Sekejati,Kota Bandung,Jawa Barat,Kelurahan
